,,,15-Aug,,15-Sep,,15-Oct,,15-Nov,,15-Dec,,16-Jan,,16-Feb,,16-Mar,,16-Apr,,16-May,,16-Jun,,16-Jul,,16-Aug,,16-Sep
,Total OTG Managment,,451.2,,"1,065.60",,624,,355.2,,0,,537.6,,710.4,,"1,603.20",,"1,190.40",,"2,361.60",,796.8,,"3,513.60",,969.6,,0
,Patric Chocolates,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,216,,0,,0,,0
,Quality Sales & Distribution,,"3,765.00",,0,,0,,"9,576.00",,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,Raw Juice and Smoothie Bar,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,230.4,,0,,0
,Ready Pac Foods,,0,,0,,0,,0,,0,,0,,0,,0,,"5,637.60",,"17,956.80",,0,,0,,"7,830.00",,0
,Reliant Foodservice,,0,,0,,"3,758.40",,0,,0,,0,,0,,"1,461.60",,"3,758.40",,0,,0,,0,,0,,0
,Renaissance Specialty Foods,,0,,0,,675,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,Ricanca USA LLC,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,Safeway Inc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Safeway - Auburn,"15,240.96",,"3,810.24",,"3,810.24",,0,,"3,810.24",,0,,"3,801.60",,"4,838.40",,"7,603.20",,"8,294.40",,0,,0,,"6,631.20",,"4,492.80"
,,Safeway - Denver,0,,0,,0,,0,,0,,0,,0,,"9,676.80",,"4,147.20",,"3,456.00",,0,,0,,"2,764.80",,0
,,Safeway - Phoenix (Tempe),0,,0,,0,,0,,0,,0,,0,,"6,220.80",,"1,382.40",,0,,0,,0,,"1,036.80",,"3,110.40"
,,Safeway - Portland,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,,Safeway - Portland (Clackamas),0,,"5,397.84",,0,,0,,"3,492.72",,0,,0,,"2,419.20",,"2,419.20",,"4,492.80",,"4,147.20",,0,,0,,0
,,Safeway - Roanoke (Dallas),0,,0,,0,,0,,0,,0,,0,,"4,147.20",,0,,0,,0,,0,,0,,0
,,Safeway - Santa Fe Springs,0,,0,,0,,"4,939.20",,0,,"4,147.20",,0,,"1,728.00",,0,,0,,0,,0,,0,,0
,,Safeway - Tracy,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,,Safeway - Utah,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,Total Safeway Inc.,,"15,240.96",,"9,208.08",,"3,810.24",,"4,939.20",,"7,302.96",,"4,147.20",,"3,801.60",,"29,030.40",,"15,552.00",,"16,243.20",,"4,147.20",,0,,"10,432.80",,"7,603.20"
,Salem Convention Center,,0,,0,,324,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,"SCS Direct, Inc",,0,,0,,0,,0,,0,,0,,"1,872.00",,"1,152.00",,"2,160.00",,540,,0,,0,,0,,"1,440.00"
,Second Nature Snacks,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,"Sincerely, Inc.",,0,,172.8,,172.8,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,Sixty Soho Hotel,,0,,0,,777.6,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,Sizzling Jazz,,0,,0,,0,,0,,0,,0,,0,,0,,0,,144,,0,,0,,0,,0
,Snack Nation,,0,,0,,0,,0,,0,,0,,"5,346.00",,"16,038.00",,0,,0,,0,,"3,967.92",,648,,0
,SnackItToMe! LLC,,460.8,,645.12,,645.12,,0,,645.12,,0,,645.12,,921.6,,0,,"1,013.76",,"1,013.76",,"1,013.76",,0,,921.6
,Snacks For A Purpose,,0,,0,,0,,0,,0,,0,,0,,"1,382.40",,0,,0,,"2,764.80",,0,,"2,764.80",,0
,Soul Stew,,0,,144,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,Spice Mama,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,Sprig,,0,,0,,0,,0,,0,,0,,0,,"1,080.00",,0,,0,,0,,0,,0,,0
,Stater Bros,,0,,0,,0,,0,,0,,0,,0,,0,,"8,640.00",,"4,147.20",,0,,0,,"4,147.20",,0
,SurfBerry,,0,,0,,0,,0,,132,,0,,0,,0,,0,,0,,0,,0,,0,,0
,Target - Direct,,"35,344.09",,"14,832.72",,"26,735.28",,"42,404.40",,"83,865.60",,"6,824.16",,"27,591.12",,"149,060.16",,"27,709.20",,"28,390.32",,"63,925.92",,"11,144.16",,"38,526.48",,"34,743.60"
,That's It!,,0,,144,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,The Curated Pantry,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,172.8,,0
,The Fruit Guys,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,The Juice Box,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,The Juice Union,,0,,0,,0,,0,,0,,135,,0,,0,,135,,0,,0,,0,,0,,135
,The Pantry,,0,,259.2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,The Royal Basket Company,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,230.4
,The Tasteful Pantry,,0,,64.8,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,TJ Maxx,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TJ Maxx - IN,"1,296.00",,0,,"9,204.00",,"9,180.00",,"8,181.00",,0,,0,,"3,969.00",,0,,0,,0,,"2,725.44",,0,,0
,,TJ Maxx - MA,918,,0,,"14,412.00",,"11,259.00",,"4,833.00",,0,,0,,0,,0,,0,,0,,"1,803.60",,0,,0
,,TJ Maxx - NC,"1,134.00",,0,,"10,386.00",,"22,653.00",,"4,779.00",,0,,0,,0,,0,,0,,0,,"2,044.08",,0,,0
,,TJ Maxx - NV,702,,0,,"11,898.00",,"5,508.00",,"3,807.00",,0,,0,,"2,106.00",,0,,0,,0,,"1,442.88",,0,,0
,Total TJ Maxx,,"4,050.00",,0,,"45,900.00",,"48,600.00",,"21,600.00",,0,,0,,"6,075.00",,0,,0,,0,,"8,016.00",,0,,0
,Try the World,,0,,460.8,,0,,0,,0,,460.8,,0,,0,,0,,0,,0,,0,,0,,0
,Twigs and Berries,,0,,0,,0,,0,,0,,0,,230.4,,0,,0,,0,,0,,0,,0,,0
,UNFI East,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UNFI East - Atlanta,"14,745.60",,"9,234.00",,"7,462.80",,0,,"14,745.60",,"9,136.80",,"29,160.00",,"7,426.80",,"10,080.00",,"96,912.00",,0,,"6,782.40",,"9,100.80",,"21,312.00"
,,UNFI East - Chesterfield,"3,686.40",,"8,827.20",,0,,0,,0,,0,,0,,"14,853.60",,0,,0,,"25,988.40",,"15,508.80",,0,,"4,993.20"
,,UNFI East - Dayville,"7,372.80",,"14,778.00",,0,,0,,"3,967.20",,0,,"10,008.00",,"39,764.40",,"14,313.60",,"18,201.60",,"28,915.20",,"34,023.60",,"23,025.60",,"9,990.00"
,,UNFI East - Greenwood,"7,372.80",,"7,538.40",,"7,740.00",,0,,"19,353.60",,0,,"13,233.60",,"8,460.00",,"27,637.20",,"61,488.00",,"10,008.00",,"43,430.40",,"6,152.40",,"7,765.20"
,,UNFI East - Hudson Valley,"40,694.40",,"75,780.00",,"11,275.20",,0,,"66,816.00",,0,,"45,266.40",,"7,516.80",,"103,770.00",,"36,637.20",,"53,344.80",,"61,059.60",,"50,047.20",,"52,243.20"
,,UNFI East - Iowa City,"29,196.00",,"22,615.20",,0,,0,,"7,005.60",,0,,0,,"8,164.80",,"21,268.80",,"29,102.40",,0,,"9,529.20",,"7,030.80",,"6,649.20"
,,UNFI East - Leicester,0,,0,,"7,372.80",,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,,UNFI East - Racine,"44,236.80",,"37,047.60",,"8,071.20",,0,,0,,0,,0,,"16,920.00",,"14,896.80",,"29,822.40",,"19,224.00",,"7,455.60",,"9,100.80",,"7,912.80"
,,"UNFI East - Richburg, SC",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,,UNFI East - Sarasota,"11,059.20",,"29,635.20",,"8,384.40",,0,,"33,408.00",,0,,"16,416.00",,"33,793.20",,"14,104.80",,"19,684.80",,0,,"28,882.80",,"23,216.40",,"20,905.20"
,,UNFI East - Twin Cities (Prescott),"14,745.60",,"7,794.00",,0,,0,,0,,0,,"7,592.40",,"7,592.40",,"9,284.40",,0,,"7,142.40",,0,,"7,999.20",,"7,671.60"
,,UNFI East - York,"17,676.00",,"102,625.20",,"7,646.40",,0,,"14,767.20",,"31,334.40",,"9,950.40",,"9,086.40",,"36,817.20",,"70,142.40",,"39,135.60",,"89,240.40",,"35,654.40",,"64,429.20"
,Total UNFI East,,"190,785.60",,"315,874.80",,"57,952.80",,0,,"160,063.20",,"40,471.20",,"131,626.80",,"153,578.40",,"252,172.80",,"361,990.80",,"183,758.40",,"295,912.80",,"171,327.60",,"203,871.60"
,Unified Grocers,,"11,113.20",,"3,758.40",,"3,758.40",,0,,"3,906.00",,0,,"4,827.60",,"7,758.00",,"3,556.80",,"12,016.80",,"3,621.60",,"12,988.80",,"10,173.60",,"9,057.60"
,"United Natural Foods West, Inc (UNFI)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"UNFI - Auburn, WA","23,190.00",,"33,080.40",,"15,033.60",,0,,"8,089.20",,0,,"32,086.80",,"7,628.40",,"7,593.60",,"16,070.40",,"33,793.20",,"13,420.80",,"32,752.80",,"13,568.40"
,,"UNFI - Aurora, CO","32,987.40",,"66,168.00",,"18,792.00",,0,,"17,971.20",,"7,372.80",,"7,574.40",,"22,744.80",,"28,641.60",,"32,526.00",,"9,417.60",,"27,738.00",,"31,302.00",,"18,586.80"
,,"UNFI - Gilroy, CA",0,,0,,0,,0,,0,,0,,"15,033.60",,0,,0,,"95,572.80",,"20,307.60",,"55,918.80",,"14,407.20",,"20,865.60"
,,"UNFI - Lancaster, TX","38,631.60",,"80,229.60",,"16,912.80",,"4,698.00",,"7,538.40",,"21,132.00",,"30,412.80",,"6,220.80",,"42,843.60",,"19,947.60",,"46,922.40",,"17,877.60",,"7,704.00",,"8,708.40"
,,"UNFI - Moreno Valley, CA","32,601.60",,"109,044.00",,"23,490.00",,"18,792.00",,"15,757.20",,"52,621.20",,"7,812.00",,"26,740.80",,"35,838.00",,"87,256.80",,"21,700.80",,"57,924.00",,"55,346.40",,"38,671.20"
,,"UNFI - Ridgefield, WA","8,382.00",,"51,799.20",,"11,275.20",,0,,"3,031.20",,0,,"7,408.80",,"18,802.80",,0,,"9,990.00",,0,,"19,994.40",,"13,305.60",,208.8
,,"UNFI - Rocklin, CA","60,661.20",,"66,056.40",,"43,628.40",,"32,760.72",,"51,318.00",,0,,"59,803.20",,"50,529.60",,"111,441.60",,"39,445.20",,"34,912.80",,"49,276.80",,"44,391.60",,"16,153.20"
,"Total United Natural Foods West, Inc (UNFI)",,"196,453.80",,"406,377.60",,"129,132.00",,"56,250.72",,"103,705.20",,"81,126.00",,"160,131.60",,"132,667.20",,"226,358.40",,"300,808.80",,"167,054.40",,"242,150.40",,"199,209.60",,"116,762.40"
,United Provisions,,0,,0,,0,,0,,0,,0,,259.2,,0,,0,,0,,0,,0,,0,,0
,V Marks the Shop,,0,,0,,0,,0,,0,,0,,0,,0,,0,,144,,230.4,,0,,0,,0
,Vegan Cuts (Paper Box),,0,,0,,0,,0,,0,,0,,0,,"3,465.00",,0,,0,,0,,0,,0,,0
,Vistar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Vistar- Livermore, CA",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,"2,192.40"
,,"Vistar- Ontario, CA",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,"3,427.20"
,,"Vistar- Southhaven, MS",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,"12,873.60"
,,Vistar - Other,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,"3,495.60",,0,,"2,192.40",,"5,241.60"
,Total Vistar,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,"3,495.60",,0,,"2,192.40",,"23,734.80"
,"Weserv, Inc",,0,,205.44,,205.44,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,Wheelys Cafe Long Beach,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,172.8,,0,,0
,WorkPerks,,153.6,,0,,0,,0,,0,,0,,0,,230.4,,0,,0,,0,,0,,0,,0
,Zoom Snacks,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,102.72,,205.44
TOTAL,,,"723,019.03",,"1,039,564.55",,"540,797.20",,"464,998.52",,"572,194.88",,"350,980.86",,"802,155.04",,"931,306.30",,"1,006,756.51",,"1,238,059.43",,"827,986.88",,"1,005,474.26",,"1,383,934.14",,"959,048.34"
